,companyName,layoffDate,noticeDate,numAffected,State
0,"Dropbox, Inc.",2023-04-28,2023-04-27,182,CA
1,"Lyft, Inc.",2023-04-28,2023-04-27,383,CA
2,"Alteryx, Inc.",2023-06-30,2023-04-27,65,CA
3,Cal Poly Corporation,2023-06-30,2023-04-26,149,CA
4,Bed Bath & Beyond Store 0020,2023-06-26,2023-04-24,52,CA
5,"Sangamo Therapeutics, Inc.",2023-06-26,2023-04-26,30,CA
6,Sangamo Therapeutics,2023-06-26,2023-04-26,25,CA
7,Sangamo Therapeutics Suite 130,2023-06-26,2023-04-26,2,CA
8,Bed Bath & Beyond Store #0031,2023-06-26,2023-04-24,48,CA
9,Unical Aviation LLC,2023-06-30,2023-04-26,155,CA
10,Entekra LLC,2023-06-16,2023-04-18,111,CA
11,Entekra LLC,2023-06-16,2023-04-18,27,CA
12,"Meta Platforms, Inc.",2023-06-23,2023-04-24,2,CA
13,"Meta Platforms, Inc.",2023-06-23,2023-04-24,18,CA
14,"Meta Platforms, Inc.",2023-06-23,2023-04-24,34,CA
15,"Meta Platforms, Inc.",2023-06-23,2023-04-24,26,CA
16,"Meta Platforms, Inc.",2023-06-23,2023-04-24,12,CA
17,"Meta Platforms, Inc.",2023-06-23,2023-04-24,41,CA
18,"Meta Platforms, Inc.",2023-06-23,2023-04-24,3,CA
19,"Meta Platforms, Inc.",2023-06-23,2023-04-24,4,CA
20,"Meta Platforms, Inc.",2023-06-23,2023-04-24,3,CA
21,"Meta Platforms, Inc.",2023-06-23,2023-04-24,3,CA
22,"Meta Platforms, Inc.",2023-06-23,2023-04-24,6,CA
23,"Meta Platforms, Inc.",2023-06-23,2023-04-24,39,CA
24,"Meta Platforms, Inc.",2023-06-23,2023-04-24,57,CA
25,"Meta Platforms, Inc.",2023-06-23,2023-04-24,70,CA
26,"Meta Platforms, Inc.",2023-06-23,2023-04-24,79,CA
27,"Meta Platforms, Inc.",2023-06-23,2023-04-24,25,CA
28,"Meta Platforms, Inc.",2023-06-23,2023-04-24,114,CA
29,"Meta Platforms, Inc.",2023-06-23,2023-04-24,91,CA
30,"Meta Platforms, Inc.",2023-06-23,2023-04-24,118,CA
31,"Meta Platforms, Inc.",2023-06-23,2023-04-24,30,CA
32,"Meta Platforms, Inc.",2023-06-23,2023-04-24,32,CA
33,"Meta Platforms, Inc.",2023-06-23,2023-04-24,15,CA
34,"Meta Platforms, Inc.",2023-06-23,2023-04-24,57,CA
35,"Meta Platforms, Inc.",2023-06-23,2023-04-24,35,CA
36,"Meta Platforms, Inc.",2023-06-23,2023-04-24,42,CA
37,"Meta Platforms, Inc.",2023-06-23,2023-04-24,53,CA
38,"Meta Platforms, Inc.",2023-06-23,2023-04-24,63,CA
39,"Meta Platforms, Inc.",2023-06-23,2023-04-24,17,CA
40,"Meta Platforms, Inc.",2023-06-23,2023-04-24,119,CA
41,"Meta Platforms, Inc.",2023-06-23,2023-04-24,127,CA
42,"Meta Platforms, Inc.",2023-06-23,2023-04-24,19,CA
43,Intel Corporation,2023-05-31,2023-04-14,57,CA
44,"CJ Logistics America, LLC",2023-06-16,2023-04-25,92,CA
45,"CJ Logistics America, LLC",2023-06-16,2023-04-25,48,CA
46,Accenture,2023-06-20,2023-04-20,148,CA
47,"Jenny Craig (JC) USA, Inc.",2023-06-24,2023-04-25,146,CA
48,Waste Management,2023-07-01,2023-04-25,78,CA
49,"Meta Platforms, Inc.",2023-06-23,2023-04-24,44,CA
50,"Meta Platforms, Inc.",2023-06-23,2023-04-24,27,CA
51,"Meta Platforms, Inc.",2023-06-23,2023-04-24,40,CA
52,"Meta Platforms, Inc.",2023-06-23,2023-04-24,41,CA
53,"Cloud Software Group, Inc.",2023-03-13,2023-01-09,96,CA
