index,companyName,numAffected,Workforce Region,noticeDate,Reason for Layoff,Occupations,layoffDate,Temp Layoffs,Perm Layoffs,Furloughs,WARN Letter,NAICS 
0,Albertsons 632,38,Mesa County,6/4/2015,Closure,,,,,,,
1,Albertsons 8584,78,Pikes Peak/Teller,3/24/2015,Closure,,,,,,,
2,Ambassadors Group,1,Denver,4/27/2015,Downsize,,,,,,,
3,Baker Hughes Inc.,17,Adams County,9/30/2015,Downsize,,,,,,,
4,Baker Hughes Inc.,124,Adams County,8/12/2015,Downsize,,,,,,,
5,"Baker Hughes, Inc.",2,Adams County,11/3/2015,Downsize,,,,,,,
6,Bayou Well Services,250,Weld,5/15/2015,Downsize,,,,,,,
7,Bowie Resources LLC,78,Western,9/30/2015,Downsize,,,,,,,
8,Capstone Logistics,69,Denver,4/3/2015,Downsize,,,,,,,
9,Climax Molybdenum Company,200,Jefferson County,11/3/2015,Job Attached Layoff,,,,,,,
10,Corinthian Colleges Inc./Everest College,214,Pikes Peak/Teller,1/30/2015,Closure,,,,,,,
11,Curian Capital,224,Denver,8/4/2015,Closure,,,,,,,
12,Diamond Wire Material Technologies,45,Pikes Peak/Teller,7/28/2015,Downsize,,,,,,,
13,ECMC Group,137,Adams County,9/1/2015,Downsize,,,,,,,
14,EOS CCA,60,Denver,9/15/2015,Closure,,,,,,,
15,Fidelity Exploration & Production Company,106,Denver,11/4/2015,Closure,,,,,,,
16,First Student,150,Mesa,4/30/2015,Closure,,,,,,,
17,Frontier Airlines Inc.,1152,Denver,1/16/2015,Closure,,,,,,,
18,Intuit,59,Arapahoe/Douglas,6/25/2015,Downsize,,,,,,,
19,Iqor Inc.,251,Pueblo,1/2/2015,Downsize,,,,,,,
20,Jacobs Technology Inc - ETASS Group.,70,Pikes Peak/Teller,2/29/2016,Downsize,,,,,,,
21,Jones International University,28,Arapahoe/Douglas,1/31/2016,Closure,,,,,,,
22,K-Mart-Sears Distribution Center,103,Adams County,1/6/2015,Closure,,,,,,,
23,KIRA,364,Pikes Peak/Teller,7/30/2015,Downsize,,,,,,,
24,Linn Energy,52,Denver,4/15/2015,Closure,,,,,,,
25,Lockheed Martin,126,Pikes Peak/Teller,10/23/2015,Downsize,,,,,,,
26,Lockheed Martin,119,Pikes Peak/Teller,7/20/2015,Downsize,,,,,,,
27,Lockheed Martin,130,Pikes Peak/Teller,7/20/2015,Downsize,,,,,,,
29,MMC,64,Glendale,3/25/2015,Closure,,,,,,,
30,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,7/31/2015,Closure,,,,,,,
31,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,6/14/2015,Closure,,,,,,,
32,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,5/31/2015,Closure,,,,,,,
33,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,5/17/2015,Closure,,,,,,,
34,Moneygram Payment Systems Inc. (MPSI),8,Jefferson County,5/2/2015,Closure,,,,,,,
35,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,5/1/2015,Closure,,,,,,,
36,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,4/30/2015,Closure,,,,,,,
37,Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,4/1/2015,Closure,,,,,,,
38,Moneygram Payment Systems Inc. (MPSI),4,Jefferson County,3/30/2015,Closure,,,,,,,
39,Moneygram Payment Systems Inc. (MPSI),7,Jefferson County,1/27/2015,Closure,,,,,,,
40,Moneygram Payment Systems Inc. (MPSI),4,Jefferson County,1/6/2015,Closure,,,,,,,
41,Newfield Exploration Company,91,Denver,5/28/2015,Closure,,,,,,,
42,Northwest Pipe Company,65,Denver,7/12/2016,Closure,,,,,,,
43,Ouray Silver Mines,82,Western,8/4/2015,Job Attached Layoff,,,,,,,
44,Pioneer Natural Resources,75,Denver,5/4/2015,Closure,,,,,,,
45,Pioneer Natural Resources - Trinidad,102,Southeast,5/4/2015,Downsize,,,,,,,
46,Quad/Graphics,151,Various Regions,8/27/2015,Closure,,,,,,,
47,Qualcomm,158,Boulder,9/17/2015,Downsize,,,,,,,
48,Safeway,98,Denver,1/4/2016,Closure,,,,,,,
49,Select Medical,68,Denver,9/25/2015,Closure,,,,,,,
50,Serco-NA,69,Pikes Peak/Teller,1/21/2015,Downsize,,,,,,,
51,Sinton Dairy Foods Company/ Borden,122,Pikes Peak/Teller,3/16/2015,Closure,,,,,,,
56,Sprint,247,Arapahoe/Douglas,1/22/2016,Downsize,,,,,,,
57,Staples,59,Arapahoe/Douglas,2/10/2015,Closure,,,,,,,
58,Target Corporation - TCC Cooking Company LLC,241,Pikes Peak/Teller,11/13/2015,Closure,,,,,,,
59,Trulia,33,Denver,2/17/2015,Other,,,,,,,
60,Union Pacific Company,300,Denver,11/16/2015,Closure,,,,,,,
61,Urban Fulfillment,265,Jefferson County,7/6/2015,Closure,,,,,,,
62,UTI,10,Pikes Peak/Teller,7/17/2015,Closure,,,,,,,
63,VMWare,38,Broomfield,1/26/2016,Downsize,,,,,,,
64,VMWare,48,Pikes Peak/Teller,1/26/2016,Downsize,,,,,,,
65,Walmart Store 3021,65,Arapahoe/Douglas,1/15/2016,Closure,,,,,,,
66,Walmart Store 5002,78,Denver,1/15/2016,Closure,,,,,,,
67,Western Forge,150,Pikes Peak/Teller,9/2/2015,Downsize,,,,,,,
68,WPX Energy,142,Denver,3/2/2015,Closure,,,,,,,
69,WPX Energy-Rev to 3/2/15,2,Denver,11/30/2015,Closure,,,,,,,
70,WPX Energy-Rev to 3/2/15,91,Denver,7/9/2015,Closure,,,,,,,
71,Zenith Education Group,152,Adams County,4/29/2015,Downsize,,,,,,,
72,Sports Authority - Lone Tree Store,70,Arapahoe/Douglas,7/13/2017,Closure,,,,,,,
73,SMA America Production LLC,220,Denver,12/31/2016,Closure,,,,,,,
74,Coleman,54,Jefferson,12/20/2016,Closure,,,,,,,
75,MV Public Transportation,52,Mesa ,10/21/2016,Closure,,,,,,,
77,Swissport,187,Denver,9/16/2016,Downsize,,,,,,,
78,Climax Molybdenum Co - Henderson Mine & Mill - REV #4,200,Jefferson,8/26/2016,Revision,,,,,,,
79,Sports Authority - Store Support Center,144,Arapahoe/Douglas,8/26/2016,Closure,,,,,,,
80,General Dynamics Information Technology,60,Pikes Peak/Teller,8/18/2016,Ceasing certain operations,,,,,,,
81,Lake Region Medical - Layoffs 8-10-16,60,Jefferson,8/10/2016,Closure,,,,,,,
82,Integra,59,Denver,8/4/2016,Downsize,,,,,,,
83,Honeywell Technology Solutions Inc - REV,210,Pikes Peak/Teller,7/28/2016,Potential Downsize,,,,,,,
84,Packaging Corporation of America,70,Adams,7/25/2016,Closure,,,,,,,
85,Excelsior,80,Arapahoe/Douglas,7/20/2016,Closure,,,,,,,
86,Northwest Pipe Company,65,Denver,7/12/2016,Selling  Company,,,,,,,
87,CCA- Kit Carson Correctional Facility,141,Western,7/5/2016,Closure,,,,,,,
88,Xerox State Healthcare,85,Arapahoe/Douglas,6/27/2016,Other,,,,,,,
89,Sports Authority,70,Arapahoe/Douglas,6/23/2016,Closure,,,,,,,
93,Honeywell Technology Solutions Inc.,241,Pikes Peak/Teller,6/2/2016,Potential Downsize,,,,,,,
94,Sanjel,54,Denver,5/31/2016,Closure,,,,,,,
95,Sanjel,101,Weld,5/31/2016,Closure,,,,,,,
96,Sports Authority,461,Arapahoe/Douglas,5/25/2016,Closing,,,,,,,
97,Gaiam Inc.,34,Boulder,5/11/2016,Sale of Company,,,,,,,
98,DAL Global Services,104,Denver,5/3/2016,Downsize,,,,,,,
